,ORIG_RATE,ORIG_UPB,ORIG_DATE,OLTV,DTI,CSCORE_B,PURPOSE,PROP,NO_UNITS,OCC_STAT,LAST_UPB,LAST_PAID_INSTALLMENT_DATE,LOSS_GIVEN_DEFAULT
0,8.0,68000.0,1999-12-01,82,17.0,584.0,R,SF,1,P,66727.36,2002-08-01,0.0
1,8.25,81000.0,2000-01-01,97,33.0,670.0,P,SF,1,P,81193.29,2000-05-01,0.0
2,7.875,72000.0,1999-12-01,78,3.0,718.0,C,SF,1,P,68384.97,2004-06-01,0.0
3,9.125,103000.0,1999-12-01,97,36.0,640.0,P,MH,1,P,100694.32,2003-06-01,0.0492370025486325
4,9.0,61000.0,2000-03-01,75,45.0,630.0,C,PU,1,P,60261.78,2001-05-01,0.7566583816338818
5,8.5,48000.0,1999-11-01,60,26.0,572.0,R,SF,1,P,44696.72,2002-10-01,0.0
6,8.125,40000.0,2000-02-01,66,20.0,,P,PU,1,P,29548.42,2006-02-01,0.0
7,8.25,74000.0,1999-12-01,80,30.0,656.0,C,SF,1,P,72099.58,2002-06-01,0.1547983529759443
8,7.5,77000.0,1999-11-01,90,34.0,711.0,C,SF,1,P,66813.83,2003-01-01,0.3362184721343628
9,8.125,123000.0,1999-12-01,97,10.0,770.0,P,SF,1,P,121338.57,2001-10-01,0.1022984070433965
10,7.625,121000.0,1999-12-01,88,54.0,749.0,P,SF,1,P,115204.31,2004-08-01,0.0978929716376177
11,8.5,58000.0,2000-01-01,97,46.0,662.0,P,SF,1,P,55980.44,2004-02-01,0.2968865136473795
12,7.875,111000.0,1999-12-01,95,37.0,655.0,P,SF,1,P,107820.43,2002-08-01,0.0
13,7.625,88000.0,2000-01-01,80,44.0,631.0,R,SF,1,P,86787.29,2001-08-01,0.0
14,8.5,76000.0,2000-02-01,94,28.0,588.0,P,SF,1,P,71022.05,2006-10-01,0.0
15,7.25,60000.0,1999-12-01,75,34.0,689.0,C,SF,1,P,53032.32,2002-11-01,0.2683379035735431
16,8.875,131000.0,2000-02-01,80,41.0,710.0,C,SF,1,P,110264.13,2012-06-01,0.5754622436570807
17,8.0,91000.0,2000-01-01,90,38.0,620.0,P,SF,1,P,88503.66,2001-09-01,0.0
18,8.625,98000.0,2000-01-01,90,46.0,648.0,R,SF,1,P,95427.03,2003-06-01,0.079794642087186
19,7.5,113000.0,1999-11-01,90,52.0,672.0,R,SF,1,P,110485.01,2006-08-01,0.0
20,8.5,76000.0,1999-11-01,90,38.0,660.0,P,SF,1,P,71456.68,2005-10-01,0.1448999662300859
21,7.75,74000.0,1999-12-01,87,43.0,668.0,C,MH,1,P,66757.35,2007-02-01,0.3791355148814564
22,7.625,67000.0,1999-11-01,80,59.0,681.0,C,MH,1,P,32793.56,2009-04-01,0.0
23,8.75,90000.0,2000-02-01,97,53.0,553.0,P,SF,1,P,87898.29,2002-09-01,0.0
24,8.625,50000.0,2000-02-01,95,27.0,670.0,P,SF,1,P,52803.79,2003-09-01,0.0
25,8.0,57000.0,2000-01-01,95,35.0,679.0,R,SF,1,P,43448.59,2011-10-01,0.8182112935600343
26,8.125,72000.0,1999-12-01,90,14.0,651.0,C,SF,1,P,69140.63,2003-12-01,0.1107259925097747
27,8.375,33000.0,2000-01-01,69,37.0,634.0,P,SF,1,P,30877.57,2002-03-01,0.782973931604631
28,8.75,54000.0,2000-01-01,97,46.0,740.0,P,SF,1,P,46654.08,2010-02-01,0.5276379394419232
29,8.25,128000.0,1999-12-01,82,36.0,622.0,P,SF,1,P,129752.78,2003-06-01,0.3502934832723159
30,8.0,85000.0,2000-01-01,97,35.0,723.0,P,SF,1,P,65603.34,2012-02-01,0.3359835718406121
31,8.375,103000.0,2000-02-01,80,41.0,592.0,P,SF,1,P,96260.47,2010-12-01,0.0342648419327768
32,8.75,102000.0,1999-12-01,95,27.0,647.0,P,MH,1,P,99624.04,2002-08-01,0.0
33,8.5,169000.0,1999-07-01,87,37.0,740.0,C,SF,1,P,167463.52,2000-07-01,0.0
34,8.375,59000.0,2000-02-01,80,29.0,665.0,P,SF,1,P,52861.32,2009-03-01,0.4109980774244341
35,7.625,108000.0,1999-12-01,90,37.0,669.0,R,SF,1,P,107028.46,2001-01-01,0.0
36,7.875,103000.0,1999-12-01,80,46.0,796.0,P,PU,1,P,103000.0,2000-01-01,0.0
37,9.0,74000.0,1999-12-01,97,49.0,671.0,P,SF,1,P,73370.96,2001-03-01,0.3008123189383402
38,8.75,85000.0,2000-01-01,60,,634.0,C,SF,1,P,87230.68,2002-10-01,0.0
39,7.875,123000.0,1999-12-01,95,56.0,734.0,P,SF,1,P,99203.46,2013-06-01,0.3604417031230718
40,8.25,53000.0,1999-11-01,95,21.0,640.0,P,SF,1,P,49130.96,2006-08-01,0.0
41,8.625,73000.0,2000-02-01,97,,670.0,P,MH,1,P,75534.35,2002-02-01,0.3908620557911513
42,8.125,80000.0,2000-01-01,95,42.0,671.0,P,SF,1,P,79192.86,2000-11-01,0.0585734402043889
43,8.75,45000.0,2000-01-01,80,32.0,660.0,C,SF,1,P,27828.6,2012-02-01,0.0
44,8.875,90000.0,1999-12-01,90,36.0,637.0,P,SF,1,P,89667.81,2000-04-01,0.0
45,8.75,27000.0,1999-12-01,64,31.0,660.0,R,SF,1,P,12376.38,2009-12-01,0.5892845174381991
46,7.875,187000.0,1999-12-01,90,39.0,645.0,R,SF,1,P,183254.22,2002-05-01,0.0614619263966468
47,8.25,90000.0,1999-11-01,95,37.0,760.0,P,SF,1,P,84817.3,2005-12-01,0.3438555359356672
48,8.25,45000.0,2000-02-01,71,23.0,621.0,C,SF,1,P,37087.41,2004-04-01,0.0
49,9.125,110000.0,2000-02-01,95,50.0,605.0,P,PU,1,P,108348.96,2002-03-01,0.0
