,OLTV,DTI,CSCORE_B,PURPOSE,PROP,LOSS_GIVEN_DEFAULT,UNRATE,CURR_HPI,MORTGAGE30US,MTM_LTV,INT_DIFF,LOG_OUPB
0,82,17.0,584.0,R,SF,0.0,6.7,260.09,6.43,71.89462690522663,1.5700000000000005,11.127262984158243
1,97,33.0,670.0,P,SF,0.0,3.6,236.99,8.28,95.61908338257749,-0.0299999999999993,11.302204433654575
2,78,3.0,718.0,C,SF,0.0,5.8,276.3533333333333,6.28,62.29730597580391,1.5949999999999998,11.184421397998193
3,97,36.0,640.0,P,MH,0.0492370025486325,6.9,266.04,5.26,82.83306859379736,3.865,11.542484267211773
4,75,45.0,630.0,C,PU,0.7566583816338818,5.2,249.72,7.14,69.7268812145012,1.8600000000000003,11.018629143155449
5,60,26.0,572.0,R,SF,0.0,6.7,261.25,6.01,49.55419129314195,2.49,10.778956289890028
7,80,30.0,656.0,C,SF,0.1547983529759443,6.9,258.33,6.71,70.11765200499536,1.54,11.211820372186306
8,90,34.0,711.0,C,SF,0.3362184721343628,6.8,263.42,5.85,68.69425713842,1.6500000000000004,11.251560700835821
9,97,10.0,770.0,P,SF,0.1022984070433965,6.5,253.33,6.64,87.77888876518593,1.4850000000000003,11.719939634354555
10,88,54.0,749.0,P,SF,0.0978929716376177,5.7,278.89,5.99,69.81428477577235,1.6349999999999998,11.703545824578878
11,97,46.0,662.0,P,SF,0.2968865136473795,6.1,272.76666666666665,5.72,79.99383060344618,2.78,10.968198289528557
12,95,37.0,655.0,P,SF,0.0,6.7,260.09,6.43,82.44973001360006,1.4450000000000005,11.617285480294472
13,80,44.0,631.0,R,SF,0.0,5.9,251.8033333333333,7.0,73.02468788436381,0.625,11.385092093460344
14,94,28.0,588.0,P,SF,0.0,5.3,323.48,6.3,63.55324772200456,2.2,11.238488619268468
15,75,34.0,689.0,C,SF,0.2683379035735431,6.8,261.97333333333336,6.13,58.80371445439739,1.12,11.002099841204238
16,80,41.0,710.0,C,SF,0.5754622436570807,9.5,296.27,3.67,53.19159182682807,5.205,11.782952602183288
17,90,38.0,620.0,P,SF,0.0,6.2,252.56666666666663,6.89,80.77073923675903,1.1100000000000003,11.418614785498987
18,90,46.0,648.0,R,SF,0.079794642087186,6.9,266.04,5.26,76.77302343141587,3.365,11.49272275765271
19,90,52.0,672.0,R,SF,0.0,5.2,319.62666666666667,6.63,63.79335521443527,0.8700000000000001,11.635143097694478
20,90,38.0,660.0,P,SF,0.1448999662300859,5.5,303.22,5.98,64.66435244411734,2.52,11.238488619268468
21,87,43.0,668.0,C,MH,0.3791355148814564,4.9,329.67,6.34,55.32461493655818,1.41,11.211820372186306
22,80,59.0,681.0,C,MH,0.0,11.4,331.68,4.78,27.35492256325704,2.845,11.112447898373103
23,97,53.0,553.0,P,SF,0.0,6.7,260.67,6.15,85.05430838015711,2.6,11.407564949312402
24,95,27.0,670.0,P,SF,0.0,6.7,268.0733333333333,6.44,87.58763500298427,2.185,10.819778284410283
25,95,35.0,679.0,R,SF,0.8182112935600343,10.2,302.08,3.94,55.86891102467337,4.0600000000000005,10.950806546816688
26,90,14.0,651.0,C,SF,0.1107259925097747,6.3,270.9166666666667,6.02,74.13423809720086,2.1050000000000004,11.184421397998193
27,69,37.0,634.0,P,SF,0.782973931604631,7.2,255.61,6.8,58.86649358454464,1.5750000000000002,10.404262840448617
28,97,46.0,740.0,P,SF,0.5276379394419232,11.2,313.9633333333333,5.01,62.20945762866861,3.74,10.896739325546411
29,82,36.0,622.0,P,SF,0.3502934832723159,6.9,266.04,5.26,72.60805808291673,2.99,11.759785542901755
30,97,35.0,723.0,P,SF,0.3359835718406121,9.6,296.61,3.87,58.82483430524931,4.13,11.350406535472453
31,80,41.0,592.0,P,SF,0.0342648419327768,10.5,307.9033333333333,4.46,56.82822193448896,3.915,11.542484267211773
32,95,27.0,647.0,P,MH,0.0,6.7,260.09,6.43,82.90393312832637,2.3200000000000003,11.532728092266408
33,87,37.0,740.0,C,SF,0.0,3.8,239.01,8.16,82.93394627501165,0.3399999999999998,12.037653993905211
